MacroTrends_Data_Download_AMZN
date,open,high,low,close,volume
1997-05-15,0.1219,0.125,0.0964,0.0979,6009006
1997-05-16,0.0985,0.099,0.0854,0.0865,1225710
1997-05-19,0.088,0.0886,0.0813,0.0854,508901
1997-05-20,0.0865,0.0876,0.0818,0.0818,455879
1997-05-21,0.0818,0.0824,0.0688,0.0714,1572203
1997-05-22,0.0719,0.0724,0.0656,0.0698,981401
1997-05-23,0.0703,0.0761,0.0667,0.075,1328101
1997-05-27,0.0755,0.0824,0.0729,0.0792,725259
1997-05-28,0.0813,0.0818,0.0766,0.0766,381449
1997-05-29,0.0772,0.0772,0.074,0.0753,289593
1997-05-30,0.075,0.0755,0.074,0.075,216200
1997-06-02,0.0755,0.0766,0.075,0.0755,49300
1997-06-03,0.0766,0.0766,0.074,0.074,98667
1997-06-04,0.0739,0.0744,0.0698,0.0708,256519
1997-06-05,0.0709,0.0771,0.0688,0.0771,472700
1997-06-06,0.0758,0.0854,0.0755,0.0828,650601
1997-06-09,0.0828,0.0855,0.0828,0.0844,196116
1997-06-10,0.0855,0.0855,0.0766,0.0792,455188
1997-06-11,0.0797,0.0802,0.0766,0.0771,99000
1997-06-12,0.0792,0.0823,0.0776,0.0802,136000
1997-06-13,0.0813,0.0813,0.0792,0.0792,57837
1997-06-16,0.0801,0.0801,0.0781,0.0786,76052
1997-06-17,0.08,0.08,0.0748,0.0753,392461
1997-06-18,0.0761,0.0768,0.075,0.0755,205400
1997-06-19,0.0755,0.0766,0.075,0.0755,83600
1997-06-20,0.0766,0.0776,0.075,0.0763,282300
1997-06-23,0.0771,0.0771,0.074,0.075,87300
1997-06-24,0.0753,0.0763,0.074,0.0755,62600
1997-06-25,0.0763,0.0763,0.0745,0.0755,175500
1997-06-26,0.0761,0.0761,0.0753,0.0755,265800
1997-06-27,0.0758,0.0758,0.074,0.0745,99000
1997-06-30,0.0755,0.08,0.074,0.0771,228900
1997-07-01,0.0771,0.0771,0.0755,0.0758,107700
1997-07-02,0.0758,0.0796,0.0755,0.0794,323297
1997-07-03,0.08,0.0959,0.0797,0.0956,1048650
1997-07-07,0.0917,0.1011,0.0917,0.1,671101
1997-07-08,0.1021,0.1167,0.1021,0.1151,1293101
1997-07-09,0.1151,0.1192,0.1135,0.1161,688204
1997-07-10,0.1167,0.1287,0.1167,0.1281,754301
1997-07-11,0.1261,0.1261,0.1104,0.1146,877601
1997-07-14,0.1162,0.1167,0.1058,0.1068,383880
1997-07-15,0.1068,0.124,0.1068,0.1219,772318
1997-07-16,0.1225,0.1248,0.1151,0.1167,252108
1997-07-17,0.1171,0.1171,0.1078,0.1109,263981
1997-07-18,0.1094,0.111,0.1078,0.1078,65000
1997-07-21,0.1089,0.1099,0.1073,0.1091,47900
1997-07-22,0.1084,0.1094,0.1031,0.1068,130361
1997-07-23,0.1094,0.1167,0.1089,0.1146,271600
1997-07-24,0.1151,0.1156,0.111,0.113,101400
1997-07-25,0.111,0.1126,0.111,0.1115,51723
1997-07-28,0.1114,0.1197,0.1109,0.1161,214408
1997-07-29,0.1183,0.1251,0.1167,0.124,401362
1997-07-30,0.125,0.1253,0.1214,0.1224,209800
1997-07-31,0.1219,0.1219,0.1167,0.1198,121200
1997-08-01,0.1172,0.1208,0.1125,0.1208,298877
1997-08-04,0.1188,0.1206,0.1151,0.1156,222600
1997-08-05,0.1167,0.1167,0.1073,0.1104,252700
1997-08-06,0.1104,0.1156,0.1094,0.1125,103600
1997-08-07,0.1126,0.1131,0.1063,0.1089,169478
1997-08-08,0.1084,0.1151,0.1052,0.1146,184300
1997-08-11,0.1146,0.1167,0.1125,0.1164,103300
1997-08-12,0.1141,0.1151,0.1099,0.1099,47600
1997-08-13,0.1115,0.1115,0.1084,0.1099,49200
1997-08-14,0.1089,0.1125,0.106,0.1078,86800
1997-08-15,0.1067,0.1077,0.0968,0.1057,133037
1997-08-18,0.1026,0.1026,0.0985,0.1021,148700
1997-08-19,0.1047,0.1103,0.1026,0.1083,83561
1997-08-20,0.1093,0.1093,0.1036,0.1083,82862
1997-08-21,0.1067,0.1085,0.1036,0.1057,51975
1997-08-22,0.1052,0.1062,0.1047,0.1062,59372
1997-08-25,0.1052,0.1129,0.1052,0.1109,93858
1997-08-26,0.112,0.1177,0.1115,0.1172,217500
1997-08-27,0.1154,0.1162,0.1125,0.1159,116000
1997-08-28,0.1151,0.1197,0.114,0.1187,95560
1997-08-29,0.1182,0.1187,0.1161,0.1169,60174
1997-09-02,0.1172,0.1188,0.1167,0.1177,61000
1997-09-03,0.1173,0.1209,0.1156,0.1167,163770
1997-09-04,0.1183,0.1276,0.1172,0.1276,279000
1997-09-05,0.1292,0.1334,0.1229,0.125,159000
1997-09-08,0.1266,0.1511,0.125,0.15,470700
1997-09-09,0.1571,0.1693,0.1513,0.162,747601
1997-09-10,0.1656,0.1664,0.1563,0.1651,322200
1997-09-11,0.1667,0.1667,0.1521,0.1578,355200
1997-09-12,0.1594,0.185,0.1578,0.1844,277876
1997-09-15,0.1834,0.1839,0.1526,0.1547,465300
1997-09-16,0.1563,0.1771,0.156,0.1677,536000
1997-09-17,0.1729,0.175,0.1667,0.1703,217300
1997-09-18,0.1719,0.1735,0.1641,0.1646,177400
1997-09-19,0.169,0.2042,0.1688,0.1974,744101
1997-09-22,0.2,0.2339,0.1974,0.225,1411801
1997-09-23,0.2245,0.2322,0.2198,0.2312,640162
1997-09-24,0.2322,0.2405,0.2146,0.2187,683244
1997-09-25,0.2172,0.2177,0.2026,0.2039,414000
1997-09-26,0.2036,0.2129,0.2026,0.2083,227546
1997-09-29,0.2073,0.2094,0.1979,0.2021,197600
1997-09-30,0.2,0.2174,0.1901,0.2169,437800
1997-10-01,0.2218,0.2249,0.1968,0.201,416497
1997-10-02,0.2021,0.2089,0.1995,0.2005,156400
1997-10-03,0.2042,0.2063,0.199,0.2008,97000
1997-10-06,0.2,0.2062,0.1971,0.2062,168959
